Ticker,HoldingName,WeightPct
ASML,ASML Holding NV,5.2
NOVN,NOVARTIS AG-REG,2.9
BHP,BHP GROUP LIMITED,2.4
ENR,Siemens Energy AG,2.3
6758,Sony Group Corp,2.1
BARC,Barclays PLC,2.1
NWG,NatWest Group PLC,1.9
ABBN,ABB LTD-REG,1.9
STAN,Standard Chartered PLC,1.8
RWE,RWE AG,1.7
VACN,VAT Group AG,1.7
WOW,WOOLWORTGRP LTD,1.7
UOB,UNITED OVERSEAS,1.7
SAN,Sanofi,1.7
4502,TAKEDA PHARMACEUTICAL CO,1.7
ABN,ABN AMRO BANK NV,1.7
8309,MITSUI TR HLDING,1.7
BESI,BE SEMICONDUCTOR INDUSTRI,1.6
GTX,Garrett Motion Inc,1.6
IMB,Imperial Brands PLC,1.6
,CAD CASH SWEEP,1.6
SAF,Safran SA,1.6
WDS,Woodside Energy Group Ltd,1.6
6902,DENSO CORP.,1.5
VOD,Vodafone Group PLC,1.5
WRT1V,WARTSILA OYJ ABP,1.5
3003,HULIC CO LTD,1.5
8473,SBI Holdings Inc,1.5
3289,TOKYU FUDOSAN HOLDINGS CO,1.5
NEX,Nexans SA,1.4
UMI,UMICORE,1.4
MIN,Mineral Resources Ltd,1.4
AAF,Airtel Africa PLC,1.4
8303,SBI SHINSEI BANK LTD.,1.4
8729,SONY FINANCIAL HOLDINGS,1.3
RR/,ROLLS-ROYCE HOLDINGS PLC.,1.3
ORI,Orica Ltd,1.2
STM,Seatrium Ltd,1.2
NDX1,Nordex SE,1.2
BGEO,Lion Finance Group PLC,1.1
7259,AISIN CORP,1.1
KOG,Kongsberg Gruppen ASA,1.0
TSCO,Tesco PLC,1.0
522,ASM PACIFIC TECHNOLOGY LT,0.9
8439,Tokyo Century Corp,0.9
HBR,Harbour Energy PLC,0.8
8630,SOMPO HOLDINGS INC,0.8
388,HONG KONG EXCHAN,0.8
ATS,AUSTRIA TECHNOLOGIE & SYS,0.8
8801,MITSUI FUDOSAN C,0.8
MIICF,MILLICOM INTL CELLULAR SA,0.8
GMAB,Genmab A/S,0.8
AIXA,AIXTRON SE,0.7
AZN,AstraZeneca PLC,0.7
IAG,INTL CONSOLIDATED AIRLINE,0.7
AIR,Airbus SE,0.7
SPM,Saipem SpA,0.7
TPG,TPG TELECOM LTD,0.7
VWS,Vestas Wind Systems A/S,0.7
HEIO,HEINEKEN HOLDING NV - A,0.7
MAIRE,MAIRE TECNIMONT SPA,0.6
5,HSBC Holdings PLC,0.6
LEG,LEG IMMOBILIEN SE,0.6
HLUNB,H LUNDBECK A/S,0.6
ACS,ACS ACTIVIDADES CONS Y SE,0.6
GALD,Galderma Group AG,0.6
NESTE,Neste Oyj,0.6
GLEN,Glencore PLC,0.6
LUMI,Bank Leumi Le-Israel,0.6
BBVA,BANCO BILBAO VIZCAYA ARGE,0.5
ROP,Roche Holding AG,0.5
RIO,Rio Tinto Ltd,0.5
SHA,Schaeffler AG,0.5
SHEL,SHELL PLC-W/I-ADR,0.4
KGF,Kingfisher PLC,0.4
8035,Tokyo Electron Ltd,0.4
1878,DAITO TRUST CONSTRUCT CO,0.4
SAND,Sandvik AB,0.3
SIE,Siemens AG,0.3
285A,KIOXIA HOLDINGS CORP,0.3
9532,OSAKA GAS CO LTD,0.3
024110,INDUSTRIAL BANK OF KOREA,0.3
CAMT,CAMTEK LTD,0.3
QBE,QBE Insurance Group Ltd,0.3
EPIA,EPIROC AB-A,0.2
TPRO,TECHNOPROBE SPA,0.2
ASM,ASM International NV,0.2
FGR,EIFFAGE,0.2
8,PCCW LIMITED,0.2
EXO,EXOR NV,0.2
PLS,Pilbara Minerals Ltd,0.2
SU,Schneider Electric SE,0.2
SAN,Banco Santander SA,0.2
6857,ADVANTEST CORP,0.1
RHC,RAMSAY HEALTH CARE LTD.,0.1
WAWI,Wallenius Wilhelmsen ASA,0.1
BMED,BANCA MEDIOLANUM SPA,0.1
AD,KONINKLIJKE AHOLD NV,0.1
EQNR,EQUINOR ASA-SPON ADR,0.1
9531,TOKYO GAS CO,0.1
BEZQ,BEZEQ ISRAELI TELECOMMUNI,0.1
VAR,VAR ENERGI ASA,0.1
ABDN,Aberdeen Group PLC,0.0
LUKN,LUZERNER KTBK AG-REG,0.0
SBMO,SBM Offshore NV,0.0
GSK,GSK PLC,0.0
7201,Nissan Motor Co Ltd,0.0
,ACS ACTIVIDADES C EUR 0.5,0.0
,"Cash, Cash Equivalents 1",0.3
